GEOID,Name,Median_Hhold._Income_of_Residents_in_2012-16,Population_Density_in_2010,Poverty_Rate_in_2012-16,Total Population,Population 18 and Older,Population Under 18,White Alone,Black Alone,Asian Alone,Other Race Alone,Multi-Race,Hispanic,"White Alone, Non-Hispanic",Total Minority Population,Total Housing Units,Occupied Housing Units,Vacant Housing Units
18097351000,"Indianapolis, IN",26831,5551,0.3936,2555,1898,657,805,1467,16,113,154,181,777,1778,1406,1076,330
18097351200,"Indianapolis, IN",20905,3294,0.5038,2381,1702,679,156,1886,4,196,139,254,125,2256,1316,961,355
18097351500,"Highland Vicinity, Indianapolis, IN",35473,4043,0.2826,2023,1558,465,653,1076,31,98,165,192,620,1403,1084,900,184
18097351600,"Fall Creek Place, Indianapolis, IN",51846,5035,0.1823,2293,1964,329,1387,590,76,66,174,129,1364,929,1320,1187,133
18097351700,"Reagan Park, Indianapolis, IN",33124,2474,0.3955,2642,2057,585,1018,1364,28,74,158,134,995,1647,1382,1125,257
18097351900,"Martindale-Brightwood, Indianapolis, IN",24071,4459,0.2956,2140,1719,421,105,1824,8,105,98,173,74,2066,1073,955,118
18097352100,"Martindale-Brightwood, Indianapolis, IN",23815,3456,0.3944,2121,1459,662,221,1387,2,344,167,420,185,1936,992,767,225
18097352300,"Indianapolis, IN",19751,1621,0.4716,1604,1141,463,183,1134,5,211,71,288,129,1475,736,596,140
18097352400,"Indianapolis, IN",30374,3550,0.3682,3056,2240,816,1185,1196,5,396,274,609,1095,1961,1446,1246,200
18097352800,"Martindale-Brightwood, Indianapolis, IN",25987,1357,0.237,1480,1110,370,280,1084,10,22,84,66,260,1220,824,711,113
18097353500,"Ransom Place, Indianapolis, IN",13087,2329,0.5321,2480,2242,238,962,696,621,55,146,163,894,1586,1441,1346,95
18097353600,"Indianapolis, IN",21311,1380,0.4327,2708,2172,536,697,1441,66,331,173,431,626,2082,1538,1244,294
18097360101,"Indianapolis, IN",14749,2472,0.5081,2571,1854,717,685,1454,12,243,177,356,633,1938,1336,1109,227
18097360102,"Indianapolis, IN",19896,2666,0.5271,2826,1971,855,328,2058,5,281,154,333,305,2521,1279,1105,174
18097360201,"Indianapolis, IN",28619,2087,0.2695,4162,2959,1203,1030,2297,15,508,312,624,974,3188,1772,1655,117
18097360202,"Indianapolis, IN",32423,2880,0.2719,3179,2243,936,747,1816,12,332,272,547,654,2525,1238,1099,139
18097360301,"Warren, Indianapolis, IN",38202,2869,0.1997,4167,2850,1317,1386,1642,25,641,473,1033,1243,2924,1591,1521,70
18097360302,"Indianapolis, IN",27454,1308,0.3829,2706,1825,881,587,1366,6,524,223,762,489,2217,1176,992,184
18097360401,"Warren, Indianapolis, IN",30628,5697,0.3244,6205,4303,1902,1168,4000,43,505,489,871,997,5208,2613,2453,160
18097360402,"Northeastwood, Indianapolis, IN",40175,1831,0.2768,2088,1474,614,402,1316,4,231,135,367,336,1752,769,719,50
18097360404,"Indianapolis, IN",35860,3673,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18097360405,"Warren, Indianapolis, IN",42382,2932,0.1353,6760,4824,1936,1734,3956,64,492,514,753,1643,5117,2658,2541,117
18097390500,"Indianapolis, IN",26673,1721,0.3864,2450,1804,646,325,1803,9,167,146,240,302,2148,1301,1032,269
18097390600,"Lawrence, IN",36660,833.1,0.2156,0,0,0,0,0,0,0,0,0,0,0,0,0,0
